Term, Course, Institution, Credit Hours,Sections
Fall 2007, College Algebra, CSUCI,4,1
Spring 2008, College Algebra, CSUCI,4,1
Fall 2008, Math Excel, Auburn U,2,3
Spring 2009, Calculus with Bus App I, Auburn U,4,2
Fall 2009, Calculus I (Early Trans), Auburn U,4,2
Spring 2010, Calculus II, Auburn U,4,2
Summer 2010, Calculus I (Early Trans), Auburn U,4,2
Fall 2010, Math for Elem Ed I, Auburn U,3,2
Spring 2011, Calculus I (Early Trans), Auburn U,4,1
Fall 2011, Calculus with Bus App I, Auburn U,4,2
Spring 2012, Calculus I (Early Trans), Auburn U,4,2
Summer 2012, Pre-Calculus Algebra, Auburn U,3,2
Fall 2012, Calculus III, Auburn U,4,2
Spring 2013, Calculus II, Auburn U,4,1
Fall 2013, Calculus with Bus App I, Auburn U,4,1
Spring 2014, Calculus III, Auburn U,4,2
Summer 2014, Calculus I (Early Trans), Auburn U,4,1
Fall 2014, Calculus I (Late Trans), Tuskegee U,4,1
Fall 2014, Pre-Calculus Algebra, Tuskegee U,4,2
Spring 2015, Pre-Calculus Algebra, Tuskegee U,4,3
